模块
游戏,优等生,其他成就总成绩,,,1,50,,挖掘机,废料增益x2 废料容量x2
,,,,,2,110,60,红牌,怪物零件容量+10K* 部落卡片容量+1
,,,,,3,180,70,公文包,宝藏插槽+8
,,,,,4,260,80,奇怪的植物,材料增益x2 作物增益x2
,,,,,5,350,90,有益的病毒,韧性/2 腐败-50%*
,,,,,6,450,100,,
,,,,,7,560,110,,
,,,,,n,round(4.5n+0.5n^2)*10,50+10n,,
游戏,无所不知,最好的学校成绩,√,5,n,-2+3n,3,,
游戏,回来,最大离线时间,√,,1,7天,,,
,,,√,,2,30天,,,
,,,√,3,3,365天,,,
采矿,这很深,挖矿最大深度,,,n,25n,25,,
采矿,深入挖掘,气态巨行星最大深度,,,n,10n,10,,
采矿,深渊,15分钟达到的最大深度,,,2,20,,雷达,保留：深度居民
,,,,,3,30,5,报刊,保留：压缩机
,,,,,4,40,10,橱柜,保留：矿石槽位
,,,,,6,60,10,青铜镐,保留: 花岗岩硬化
,,,,,10,100,10,洗衣机,保留: 矿石洗选
,,,,10,n,10n（第一级为15）,＋10,,
采矿,毁灭,造成的总伤害,,,7,640UD,,打开的礼物,保留: 青铜存储、铁存储
,,,,,n,50*200K^n,×200K,,
采矿,力量,一击造成最大伤害,,,4,80Qi,,炸弹,保留：破壳者
,,,,,n,0.05*200K^n,×200K,,
采矿,垃圾堆,获得的废料,,,4,2.56Qi,,跳绳,保留：铝扩张、铜扩张
,,,,,5,20.48Sx,,矿石架,保留：矿石架、锡存储
,,,,,n,625*8K^n,×8K,,
采矿,更多矿石,获得的矿石,,,3,10K,,铝砖,保留：铝存储、铝淬火
,,,,,4,100K,,铜砖,保留：铜存储
,,,,,5,1M,,铝堆,保留：铝罐、铝砧
,,,,,6,10M,,铜镐,保留：磁铁、仓库
,,,,,7,100M,,锡桶,保留: 钛扩张、钛存储
,,,,,n,10*10^n,×10,,
采矿,多样性,发现的矿石类型,,,2,3,,铜堆,保留：铜罐
,,,,,3,4,,催化剂,保留：精炼厂
,,,,,4,5,,磁铁,保留: 铁扩张、铁淬火、铁过滤器
,,,,,n,n+1,1,,
采矿,垂直向下钻,最大居民深度,,,1,5,,锤子,保留：制作站
,,,,,n,-10+10n（第一级为5）,10,,
采矿,无火花,最大气体居民深度,,,n,-10+10n（第一级为5）,10,,
采矿,黑暗,获得的煤数量,,,3,625,,煤砖,保留：熔炉
,,,,,n,40*2.5^n,×2.5,,
采矿,陷入困境,获得的树脂数量,,,4,400,,一袋蜂蜜,最大树脂+1
,,,,,n,25*2^n,×2,,
采矿,浪费了,在镐最大质量时再做1次镐,√,1,,1,,,
采矿,谷底,达到最大居民深度,√,1,,1,,,
采矿,万里挑一,获得一把属性在0.0001%的镐子,√,1,,1M,,,
村庄,摩天大楼,已建成建筑物,,,4,164,57,泥砖,保留：棚子；水x1.5
,,,,,5,242,78,钥匙链,保留：小房子；木头x1.5
,,,,,6,346,104,金钥匙,保留: 房子 保留: 微型铁匠
,,,,,n,round(25(n-1)*1.2^(n-1))+35,×1.2*n/(n-1),,
村庄,敲木头,"最高的植物纤维
/木头/石头数量",,,4,10M,,树苗,保留：工棚；植物纤维x1.5
,,,,,n,1K*10^n,×10,,
村庄,铁锈和金属,最高的金属数量,,,4,5M,,螺丝刀,保留：起重机；石头x1.5
,,,,,n,500*10^n,×10,,
村庄,渡槽,最高的水数量,,,4,8.192M,,玫瑰,保留：花园、水井
,,,,,n,125*16^n,×16,,
村庄,资本家,获得的金币数量,,,5,800M,,宝箱,保留：财政部、钱包、资源包、金属包
,,,,,n,250*20^n,×20,,
村庄,策划者,最高的知识数量,,,3,2250,,地球仪,保留：图书馆、玻璃吹制厂
,,,,,n,"(1.5n+0.5n^2)*n^max(0,n-11)",>11时×1.2,,
村庄,闪亮,最高的硬木/宝石数量,,,4,2.16M,,导师,保留：锯木厂、隧道
,,,,,n,10K*6^(n-1),×6,,
部落,探险家,最大区域,,,8,80,,终极指南,保留: 闪避指南 保留: 刺击指南
,,,,,12,120,,破裂的保险箱,保留：掠夺
部落,迅捷出击,30分钟内到达的最大区域,,,9,50,,哑铃,保留：训练
部落,杀手,造成基础攻击总伤害,,,7,5.314O,,新背包,保留：囤积、掠夺秘密
部落,威猛,一次基本攻击造成最大伤害,,,4,？,,燃烧的头骨,保留：骨袋、愤怒
部落,狗的最爱,获得的骨头,,,3,？,,被遗忘的盾牌,保留：恢复力、休息
部落,没有任何东西被浪费,获得的怪物零件,,,4,？,,能量饮料,保留：怪物汤；怪物零件+0.5/s
,,,,,6,？,,绷带,保留：厚脸皮
部落,灵魂的牧者,获得的腐败的灵魂,,,5,？,,幸运骰子,保留：幸运一击
农场,园丁,最佳收获,,,3,600%,,格子,过度生长+5%
,,,,,5,1500%,,砖墙,过度生长+5%
农场,素食主义者,获得的蔬菜,,,3,1.64M,,金胡萝卜,蔬菜x1.4
农场,果食主义者,获得的水果,,,4,398.6M,,金苹果,水果x1.4
农场,面包师,获得的谷物,,,5,96.86B,,爆米花,粮食x1.4
农场,花店老板,获得的鲜花,,,6,23.54T,,蔷薇石英,鲜花x1.4
农场,单片眼镜,获得的黄金,,,7,20.76K,,金种子,解锁种子：金玫瑰
画廊,美丽,获得的美丽,,,3,1Sp,,一袋金子,解锁创意：观察彩虹
,,,,,7,1QiD,,图片相册,保留：油漆桶存储 解锁创意：为了乐趣作画
画廊,无限循环,获得的转换器,,,1,200K,,打印机,保留：新风格、循环利用；解锁创意：垃圾分类
,,,,,3,80M,,碎纸机,保留：过滤器、垃圾箱；解锁创意：建造堆肥机
画廊,颜色多样性,找到的颜色类型,,,3,4,,红色气球,保留：红色力量、红色转换
,,,,,4,5,,橙色气球,保留：橙色力量、橙色转换
,,,,,5,6,,黄色气球,保留：黄色力量、黄色转换
,,,,,6,7,,绿色气球,保留：绿色力量、绿色转换
,,,,,7,8,,蓝色气球,保留：蓝色力量、蓝色转换
,,,,,8,9,,紫色气球,保留：紫色力量、紫色转换
画廊,脑洞大,应用的最高层创意,,,1,2,,灯泡,保留：顿悟；灵感的开始+1
,,,,,2,3,,简单计算器,解锁创意：计算胜算
,,,,,4,,,奇怪的卷轴,解锁创意：保持神秘
画廊,富有,获得的现金,,,2,100,,旧电视,解锁创意：广告
,,,,,6,,,印刷机,现金x1.5 解锁创意：印刷报纸
画廊,纸板堡垒,最高包裹数量,,,1,100,,令人担忧的邮件,解锁创意：缺乏耐心
,,,,,2,300,,信用卡,解锁创意：订购大量保险箱
画廊,笨蛋笨蛋笨蛋,最高红鼓数量,,,3,100,,红色印花,保留：红色愤怒；解锁创意：修建红色水库
,,,,,5,400,,橙色印花,保留：红色幸运；解锁创意：修建橙色水库
,,,,,7,1600,,黄色印花,
,,,,,10,,,绿色印花,
,,,,,13,,,蓝色印花,
画廊,收集家,收集的总形状,,,3,,,鱼缸,形状x1.5 解锁创意：感到兴奋
,,,,,5,,,小刷子,形状x1.5 解锁创意：购买刷子
,,,,,7,7256,,奇怪的药丸,形状x1.5 解锁创意：高度关注
画廊,天才,最大形状组合（Combo）数,,,3,,,铅笔,形状x1.5 解锁创意：购买笔
画廊,远见,画布总等级,,,1,20,,木质衣架,解锁创意：画得更快
,,,,,3,,,床单,解锁创意：扩大画布
